range,percentage,min,max,fund_slug
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bridge-bank
"$50,000,000+",0.0,50000000,,bridge-bank
"$0 - $1,000,000",50.0,0,1000000.0,google-launchpad-accelerator
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,google-launchpad-accelerator
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,google-launchpad-accelerator
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,google-launchpad-accelerator
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,google-launchpad-accelerator
"$50,000,000+",0.0,50000000,,google-launchpad-accelerator
"$0 - $1,000,000",0.0,0,1000000.0,iconiq-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,iconiq-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,iconiq-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,iconiq-capital
"$20,000,000 - $50,000,000",25.0,20000000,50000000.0,iconiq-capital
"$50,000,000+",75.0,50000000,,iconiq-capital
"$0 - $1,000,000",0.0,0,1000000.0,fantail-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,fantail-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,fantail-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,fantail-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,fantail-ventures
"$50,000,000+",100.0,50000000,,fantail-ventures
"$0 - $1,000,000",0.0,0,1000000.0,victory-park-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,victory-park-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,victory-park-capital
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,victory-park-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,victory-park-capital
"$50,000,000+",50.0,50000000,,victory-park-capital
"$0 - $1,000,000",0.0,0,1000000.0,singapore-exchange
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,singapore-exchange
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,singapore-exchange
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,singapore-exchange
"$20,000,000 - $50,000,000",100.0,20000000,50000000.0,singapore-exchange
"$50,000,000+",0.0,50000000,,singapore-exchange
"$0 - $1,000,000",0.0,0,1000000.0,tokai-tokyo-financial-holdings
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,tokai-tokyo-financial-holdings
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,tokai-tokyo-financial-holdings
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,tokai-tokyo-financial-holdings
"$20,000,000 - $50,000,000",50.0,20000000,50000000.0,tokai-tokyo-financial-holdings
"$50,000,000+",0.0,50000000,,tokai-tokyo-financial-holdings
"$0 - $1,000,000",0.0,0,1000000.0,riverpark
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,riverpark
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,riverpark
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,riverpark
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,riverpark
"$50,000,000+",0.0,50000000,,riverpark
"$0 - $1,000,000",100.0,0,1000000.0,matic-foundation
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,matic-foundation
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,matic-foundation
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,matic-foundation
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,matic-foundation
"$50,000,000+",0.0,50000000,,matic-foundation
"$0 - $1,000,000",0.0,0,1000000.0,dct-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,dct-capital
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,dct-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,dct-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,dct-capital
"$50,000,000+",0.0,50000000,,dct-capital
"$0 - $1,000,000",0.0,0,1000000.0,n26
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,n26
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,n26
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,n26
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,n26
"$50,000,000+",0.0,50000000,,n26
"$0 - $1,000,000",0.0,0,1000000.0,axion-global-asset-management
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,axion-global-asset-management
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,axion-global-asset-management
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,axion-global-asset-management
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,axion-global-asset-management
"$50,000,000+",0.0,50000000,,axion-global-asset-management
"$0 - $1,000,000",0.0,0,1000000.0,consorsbank
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,consorsbank
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,consorsbank
"$10,000,000 - $20,000,000",100.0,10000000,20000000.0,consorsbank
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,consorsbank
"$50,000,000+",0.0,50000000,,consorsbank
"$0 - $1,000,000",100.0,0,1000000.0,deepcore
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,deepcore
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,deepcore
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,deepcore
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,deepcore
"$50,000,000+",0.0,50000000,,deepcore
"$0 - $1,000,000",100.0,0,1000000.0,seikatsu-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,seikatsu-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,seikatsu-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,seikatsu-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,seikatsu-ventures
"$50,000,000+",0.0,50000000,,seikatsu-ventures
"$0 - $1,000,000",0.0,0,1000000.0,ascension
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,ascension
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,ascension
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,ascension
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,ascension
"$50,000,000+",0.0,50000000,,ascension
"$0 - $1,000,000",0.0,0,1000000.0,2020-ventures
"$1,000,000 - $3,000,000",66.67,1000000,3000000.0,2020-ventures
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,2020-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,2020-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,2020-ventures
"$50,000,000+",0.0,50000000,,2020-ventures
"$0 - $1,000,000",0.0,0,1000000.0,bidesk
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,bidesk
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,bidesk
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bidesk
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bidesk
"$50,000,000+",0.0,50000000,,bidesk
"$0 - $1,000,000",0.0,0,1000000.0,inblockchain
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,inblockchain
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,inblockchain
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,inblockchain
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,inblockchain
"$50,000,000+",0.0,50000000,,inblockchain
"$0 - $1,000,000",33.33,0,1000000.0,first-star-ventures
"$1,000,000 - $3,000,000",66.67,1000000,3000000.0,first-star-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,first-star-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,first-star-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,first-star-ventures
"$50,000,000+",0.0,50000000,,first-star-ventures
"$0 - $1,000,000",100.0,0,1000000.0,decentraland-foundation
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,decentraland-foundation
