id,slug,name,tier,category,country,tabs,fund_slug
9551,paramita-venture,Paramita Venture,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Singapore,"['analytics', 'fundingRounds', 'portfolio']",paramita-venture
10346,reforge-vc,Reforge VC,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",reforge-vc
10122,curved-ventures,Curved Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",curved-ventures
9291,masterkey,Masterkey,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",masterkey
10891,tvm-ventures,TVM Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",tvm-ventures
10912,node-capital,Node.Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",node-capital
10911,syntax-capital,Syntax Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",syntax-capital
10284,frachtis,Frachtis,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",frachtis
10910,echo-base,Echo Base,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['fundingRounds', 'portfolio']",echo-base
10888,initial-ventures,Initial Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",initial-ventures
10885,octerra-capital,Octerra Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Nigeria,"['analytics', 'fundingRounds', 'portfolio']",octerra-capital
10889,redline-lab,REDLINE LAB,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Panama,"['fundingRounds', 'portfolio']",redline-lab
2718,scott-moore,Scott Moore,,"{'id': 9, 'name': 'Angel Investor', 'slug': 'angel-investor'}",Canada,"['analytics', 'fundingRounds', 'portfolio']",scott-moore
10550,the-rollup-ventures,The Rollup Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",the-rollup-ventures
10884,data-tech-fund,Data Tech Fund,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",data-tech-fund
10883,four-cities-capital,Four Cities Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",four-cities-capital
9015,bitcoin-frontier-fund,Bitcoin Frontier Fund,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",bitcoin-frontier-fund
10299,victus-global,Victus Global,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['fundingRounds', 'portfolio']",victus-global
9559,wave-digital-assets,Wave Digital Assets,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",wave-digital-assets
702,stateless-ventures,Stateless Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",stateless-ventures
2896,sky-ventures,Sky Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",sky-ventures
10266,t-fund,T-Fund,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",t-fund
9328,beam,Beam,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",beam
9513,metaverse-group,Metaverse Group,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Canada,"['analytics', 'fundingRounds', 'portfolio']",metaverse-group
9760,story-protocol,Story Protocol,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",story-protocol
10869,ainfra-ventures,Ainfra Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",ainfra-ventures
