date,company,amount,stage,category,formatted_amount,timeline,fund_slug
"Oct 21, 2019","{'name': 'Golden Technology', 'key': 'golden-technology', 'logo': 'https://img.cryptorank.io/coins/60x60.golden_technology1674631718644.png'}",141000000.0,Series B,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$141,000,000","Oct 21, 2019 • Series B",shenzhen-capital
"Nov 20, 2018","{'name': 'Yunphant Blockchain', 'key': 'yunphant-blockchain', 'logo': 'https://img.cryptorank.io/coins/60x60.yunphant_blockchain1677849506929.png'}",2900000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$2,900,000","Nov 20, 2018 • Series A",shenzhen-capital
"May 27, 2021","{'name': 'Yunphant Blockchain', 'key': 'yunphant-blockchain', 'logo': 'https://img.cryptorank.io/coins/60x60.yunphant_blockchain1677849506929.png'}",15000000.0,Series B,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$15,000,000","May 27, 2021 • Series B",shenzhen-capital
"Mar 20, 2017","{'name': 'Weibit Technology', 'key': 'weibit-technology', 'logo': 'https://img.cryptorank.io/coins/60x60.weibit_technology1675240221957.png'}",3700000.0,Extended Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$3,700,000","Mar 20, 2017 • Extended Series A",shenzhen-capital
"Jan 08, 2016","{'name': 'Weibit Technology', 'key': 'weibit-technology', 'logo': 'https://img.cryptorank.io/coins/60x60.weibit_technology1675240221957.png'}",2225000.0,Series A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$2,225,000","Jan 08, 2016 • Series A",shenzhen-capital
"May 21, 2021","{'name': 'Blocto', 'key': 'blocto', 'logo': 'https://img.cryptorank.io/coins/60x60.blocto1631517433693.png'}",8000000.0,Private Token Sale,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$8,000,000","May 21, 2021 • Private Token Sale",dealean-capital
"May 18, 2021","{'name': 'SubDAO', 'key': 'subdao', 'logo': 'https://img.cryptorank.io/coins/60x60.subdao1635934554991.png'}",0.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}",$0,"May 18, 2021 • Undisclosed",dealean-capital
"Mar 01, 2021","{'name': 'Dora Factory', 'key': 'dora-factory', 'logo': 'https://img.cryptorank.io/coins/60x60.dora_factory1693837061070.png'}",0.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}",$0,"Mar 01, 2021 • Seed",dealean-capital
"Feb 24, 2021","{'name': 'ETHA Lend', 'key': 'etha-lend', 'logo': 'https://img.cryptorank.io/coins/60x60.etha lend1615456467763.png'}",1350000.0,Private Token Sale,"{'name': 'DeFi', 'slug': 'defi'}","$1,350,000","Feb 24, 2021 • Private Token Sale",dealean-capital
"Apr 07, 2021","{'name': 'Evanesco', 'key': 'evanesco', 'logo': 'https://img.cryptorank.io/coins/60x60.evanesco1619521875485.png'}",0.0,Undisclosed,"{'name': 'DeFi', 'slug': 'defi'}",$0,"Apr 07, 2021 • Undisclosed",dealean-capital
