name,code,normal,lead,categories,fund_slug
Argentina,AR,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",liquid-2-ventures
Canada,CA,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",bullperks
Estonia,EE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",bullperks
Indonesia,ID,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",bullperks
Saint Kitts and Nevis,KN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",bullperks
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",bullperks
United States,US,5,0,"[{'name': 'Blockchain Service', 'count': 5, 'percent': 100.0}]",actaiventures
Argentina,AR,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",actaiventures
United States,US,5,0,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 60.0}, {'name': 'NFT', 'count': 2, 'percent': 40.0}]",sangha-capital
Argentina,AR,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",sangha-capital
India,IN,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",sangha-capital
Singapore,SG,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sangha-capital
Switzerland,CH,2,0,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",cabrit-capital
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'NFT', 'count': 1, 'percent': 50.0}]",mirabaud-asset-management
United States,US,3,0,"[{'name': 'CeFi', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",recharge-thematic-ventures
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",tensquared
United Kingdom,GB,6,2,"[{'name': 'Blockchain Service', 'count': 6, 'percent': 75.0}, {'name': 'DeFi', 'count': 2, 'percent': 25.0}]",speedinvest
Germany,DE,6,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 33.33}, {'name': 'DeFi', 'count': 2, 'percent': 33.33}, {'name': 'CeFi', 'count': 2, 'percent': 33.33}]",speedinvest
France,FR,3,0,"[{'name': 'CeFi', 'count': 2, 'percent': 66.67}, {'name': 'NFT', 'count': 1, 'percent': 33.33}]",speedinvest
Italy,IT,1,1,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",speedinvest
Spain,ES,1,1,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",speedinvest
Austria,AT,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",speedinvest
Canada,CA,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",speedinvest
Canada,CA,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",spaceship-dao
France,FR,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",spaceship-dao
Portugal,PT,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",spaceship-dao
Puerto Rico,PR,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",spaceship-dao
United States,US,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",spaceship-dao
France,FR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",auros-global
United Kingdom,GB,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",auros-global
United States,US,2,2,"[{'name': 'Blockchain Infrastructure', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}, {'name': 'CeFi', 'count': 1, 'percent': 25.0}]",sapphire-ventures
Argentina,AR,0,1,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",sapphire-ventures
Canada,CA,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",sapphire-ventures
Finland,FI,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",sapphire-ventures
Indonesia,ID,1,1,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",squarepeg
India,IN,0,1,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",squarepeg
France,FR,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",eic-fund
United States,US,11,1,"[{'name': 'Blockchain Service', 'count': 5, 'percent': 41.67}, {'name': 'GameFi', 'count': 2, 'percent': 16.67}, {'name': 'Blockchain Infrastructure', 'count': 2, 'percent': 16.67}, {'name': 'DeFi', 'count': 1, 'percent': 8.33}, {'name': 'NFT', 'count': 1, 'percent': 8.33}, {'name': 'Chain', 'count': 1, 'percent': 8.33}]",uob-venture
Singapore,SG,5,2,"[{'name': 'GameFi', 'count': 2, 'percent': 28.57}, {'name': 'Blockchain Service', 'count': 1, 'percent': 14.29}, {'name': 'Social', 'count': 1, 'percent': 14.29}, {'name': 'DeFi', 'count': 1, 'percent': 14.29}, {'name': 'CeFi', 'count': 1, 'percent': 14.29}, {'name': 'Chain', 'count': 1, 'percent': 14.29}]",uob-venture
United Kingdom,GB,3,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'DeFi', 'count': 1, 'percent': 33.33}]",uob-venture
China,CN,2,0,"[{'name': 'DeFi', 'count': 1, 'percent': 50.0}, {'name': 'NFT', 'count': 1, 'percent': 50.0}]",uob-venture
Kenya,KE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",uob-venture
Philippines,PH,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",uob-venture
