range,percentage,min,max,fund_slug
"$3,000,000 - $10,000,000",15.0,3000000,10000000.0,lightspeed-venture-partners
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,lightspeed-venture-partners
"$20,000,000 - $50,000,000",25.0,20000000,50000000.0,lightspeed-venture-partners
"$50,000,000+",35.0,50000000,,lightspeed-venture-partners
"$0 - $1,000,000",0.0,0,1000000.0,rockaway-blockchain-fund
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,rockaway-blockchain-fund
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,rockaway-blockchain-fund
"$10,000,000 - $20,000,000",5.0,10000000,20000000.0,rockaway-blockchain-fund
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,rockaway-blockchain-fund
"$50,000,000+",0.0,50000000,,rockaway-blockchain-fund
"$0 - $1,000,000",5.0,0,1000000.0,alliance-dao
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,alliance-dao
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,alliance-dao
"$10,000,000 - $20,000,000",5.0,10000000,20000000.0,alliance-dao
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,alliance-dao
"$50,000,000+",0.0,50000000,,alliance-dao
"$0 - $1,000,000",0.0,0,1000000.0,framework-ventures
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,framework-ventures
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,framework-ventures
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,framework-ventures
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,framework-ventures
"$50,000,000+",5.0,50000000,,framework-ventures
"$0 - $1,000,000",0.0,0,1000000.0,mirana-ventures
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,mirana-ventures
"$3,000,000 - $10,000,000",35.0,3000000,10000000.0,mirana-ventures
"$10,000,000 - $20,000,000",35.0,10000000,20000000.0,mirana-ventures
"$20,000,000 - $50,000,000",20.0,20000000,50000000.0,mirana-ventures
"$50,000,000+",0.0,50000000,,mirana-ventures
"$0 - $1,000,000",0.0,0,1000000.0,electric-capital
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,electric-capital
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,electric-capital
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,electric-capital
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,electric-capital
"$50,000,000+",15.0,50000000,,electric-capital
"$0 - $1,000,000",0.0,0,1000000.0,standard-crypto
"$1,000,000 - $3,000,000",5.0,1000000,3000000.0,standard-crypto
"$3,000,000 - $10,000,000",10.0,3000000,10000000.0,standard-crypto
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,standard-crypto
"$20,000,000 - $50,000,000",30.0,20000000,50000000.0,standard-crypto
"$50,000,000+",30.0,50000000,,standard-crypto
"$0 - $1,000,000",0.0,0,1000000.0,stellardf
