name,icon,date,raise,fund_name,fund_image,stage
Diamond Standard,https://img.cryptorank.io/coins/60x60.diamond_standard1663229314457.png,2022-09-14T00:00:00.000Z,30000000,Horizon Kinetics,https://img.cryptorank.io/funds/60x60.horizon_kinetics1663230448901.png,SERIES A
Sherlock,https://img.cryptorank.io/coins/60x60.sherlock1663231997924.png,2022-09-14T00:00:00.000Z,4000000,Archetype Ventures,https://img.cryptorank.io/funds/60x60.archetype_ventures1663232106021.png,SEED
Sentiment,https://img.cryptorank.io/coins/60x60.sentiment1740731878650.png,2022-09-09T00:00:00.000Z,2400000,Archetype Ventures,https://img.cryptorank.io/funds/60x60.archetype_ventures1663232106021.png,SEED
Bitmama,https://img.cryptorank.io/coins/60x60.bitmama1663237453322.png,2022-09-13T00:00:00.000Z,2000000,Launch Africa Ventures,https://img.cryptorank.io/funds/60x60.launch_africa_ventures1663237771473.png,PRE SEED
KNN3 Network,https://img.cryptorank.io/coins/60x60.knn_3_network1663241807582.png,2022-09-09T00:00:00.000Z,2400000,Hash Global,https://img.cryptorank.io/funds/60x60.hash_global1663242077876.png,SEED
KingdomX,https://img.cryptorank.io/coins/60x60.kingdomx1643710985933.png,2021-11-29T00:00:00.000Z,1890000,Double Peak ,https://img.cryptorank.io/funds/60x60.double peak 1649953024556.png,Private Token Sale
Burrow,https://img.cryptorank.io/coins/60x60.burrow1663244892964.png,2022-03-30T00:00:00.000Z,5000000,DragonFly Capital,https://img.cryptorank.io/funds/60x60.dragon_fly_capital1660640000289.png,SEED
Revolving Games,https://img.cryptorank.io/coins/60x60.revolving_games1663245008175.png,2022-09-09T00:00:00.000Z,25000000,Pantera Capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,SEED
DoraHacks,https://img.cryptorank.io/coins/60x60.dora_hacks1662569747119.png,2022-05-18T00:00:00.000Z,20000000,FTX Ventures,https://img.cryptorank.io/funds/60x60.ftx ventures1649435357799.png,SERIES B
B+J Studios,https://img.cryptorank.io/coins/60x60.b_j_studios1662748397256.png,2022-09-08T00:00:00.000Z,10000000,Big Brain Holdings,https://img.cryptorank.io/funds/60x60.big_brain_holdings1658319721910.png,SERIES A
Synquote,https://img.cryptorank.io/coins/60x60.synquote1663248455665.png,2022-09-14T00:00:00.000Z,2800000,Initialized Capital,https://img.cryptorank.io/funds/60x60.initialized_capital1663248563538.png,SEED
Aptos,https://img.cryptorank.io/coins/60x60.aptos1652797629854.png,2022-09-15T00:00:00.000Z,,YZi Labs (Prev. Binance Labs),https://img.cryptorank.io/funds/60x60.y_zi_labs_prev_binance_labs1737641288277.png,STRATEGIC
Flipside Crypto,https://img.cryptorank.io/coins/60x60.flipside_crypto1671780409959.png,2018-03-28T00:00:00.000Z,3400000,True Ventures,https://img.cryptorank.io/funds/60x60.true_ventures1658919875719.png,Undisclosed
Ready Player Me,https://img.cryptorank.io/coins/60x60.ready_player_me1663253927775.png,2022-08-23T00:00:00.000Z,56000000,Andreessen Horowitz (a16z),https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png,SERIES B
Aptos,https://img.cryptorank.io/coins/60x60.aptos1652797629854.png,2022-02-24T00:00:00.000Z,200000000,Andreessen Horowitz (a16z),https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png,STRATEGIC
Aptos,https://img.cryptorank.io/coins/60x60.aptos1652797629854.png,2022-07-25T00:00:00.000Z,150000000,Jump Crypto,https://img.cryptorank.io/funds/60x60.jump_crypto1660216112246.png,SERIES A
Portofino Technologies,https://img.cryptorank.io/coins/60x60.portofino_technologies1663312441075.png,2022-09-15T00:00:00.000Z,50000000,Valar Ventures,https://img.cryptorank.io/funds/60x60.valar_ventures1663312644728.png,Undisclosed
Magna,https://img.cryptorank.io/coins/60x60.magna1663314336196.png,2022-09-15T00:00:00.000Z,15200000,Tiger Global Management,https://img.cryptorank.io/funds/60x60.tiger_global_management1657715555653.png,SEED
Reku,https://img.cryptorank.io/coins/60x60.reku1663317147193.png,2022-09-15T00:00:00.000Z,11000000,AC Ventures,https://img.cryptorank.io/funds/60x60.ac_ventures1663317339774.png,SERIES A
PANONY,https://img.cryptorank.io/coins/60x60.panony1663319785782.png,2022-09-08T00:00:00.000Z,100000000,NGC Ventures,https://img.cryptorank.io/funds/60x60.ngc ventures1648569841497.png,SERIES A
Yield Protocol,https://img.cryptorank.io/coins/60x60.yield_protocol1702633382478.png,2021-06-23T00:00:00.000Z,10000000,Paradigm,https://img.cryptorank.io/funds/60x60.paradigm capital1648561644615.png,SERIES A
Usko Privacy,https://img.cryptorank.io/coins/60x60.usko_privacy1663322693332.png,2022-09-08T00:00:00.000Z,1800000,Pareto,https://img.cryptorank.io/funds/60x60.pareto1663322155648.png,Undisclosed
Exchange Art,https://img.cryptorank.io/coins/60x60.exchange_art1743087200285.png,2022-09-07T00:00:00.000Z,3200000,Big Brain Holdings,https://img.cryptorank.io/funds/60x60.big_brain_holdings1658319721910.png,SEED
Haru Invest,https://img.cryptorank.io/coins/60x60.haru_invest1663328843250.png,2022-09-01T00:00:00.000Z,4000000,Chun Yang-Hyun,https://img.cryptorank.io/funds/60x60.chun_yang_hyun1663329049875.png,STRATEGIC
Kemet Trading,https://img.cryptorank.io/coins/60x60.kemet_trading1663332157734.png,2022-08-31T00:00:00.000Z,,C² Ventures,https://img.cryptorank.io/funds/60x60.c_ventures1658230636361.png,SEED
Teamway,https://img.cryptorank.io/coins/60x60.teamway1663333659072.png,2022-08-31T00:00:00.000Z,1000000,CMT Digital,https://img.cryptorank.io/funds/60x60.cmt digital1653987824344.png,PRE SEED
Satschel,https://img.cryptorank.io/coins/60x60.satschel1663334857975.png,2022-09-16T00:00:00.000Z,5200000,Brand Foundry Ventures,https://img.cryptorank.io/funds/60x60.brand_foundry_ventures1663334985433.png,SEED
SolanaFM,https://img.cryptorank.io/coins/60x60.solana_fm1720605287467.png,2022-08-26T00:00:00.000Z,4500000,SBI Digital Asset Holdings,https://img.cryptorank.io/funds/60x60.sbi_digital_asset_holdings1663340499376.png,SEED
Animoca Brands Japan,https://img.cryptorank.io/coins/60x60.animoca_brands_japan1663342433570.png,2022-08-26T00:00:00.000Z,45000000,Animoca Brands,https://img.cryptorank.io/funds/60x60.animoca brands1652984475172.png,STRATEGIC
RELICS,https://img.cryptorank.io/coins/60x60.relics1663344957859.png,2022-09-14T00:00:00.000Z,1100000,Palm Tree Crew,https://img.cryptorank.io/funds/60x60.palm_tree_crew1663223129773.png,Undisclosed
Irys (Bundlr Network),https://img.cryptorank.io/coins/60x60.irys_bundlr_network1737549404542.png,2022-05-04T00:00:00.000Z,5200000,Framework Ventures,https://img.cryptorank.io/funds/60x60.framework ventures1648565125587.png,SEED
KYVE Network,https://img.cryptorank.io/coins/60x60.kyve_network1701353805699.png,2021-10-26T00:00:00.000Z,2800000,Hypersphere Ventures,https://img.cryptorank.io/funds/60x60.hypersphere_ventures1737618413682.png,SEED
