coinKey,coinName,follower_id,follower_name,follower_username,follower_image,follower_twitterScore,follower_followersCount,relatedEntity_fund,relatedEntity_coin
sender,Sender AI,89840,YZi Labs,yzilabs,https://pbs.twimg.com/profile_images/1882427944750190592/dkLQ6Yh6_normal.jpg,8170.0,711745,binance-labs,
goldsky,Goldsky,510,Matthew Graham,mattyryze,https://pbs.twimg.com/profile_images/1919737359005863936/aiiZ1nKP_normal.jpg,12593.0,82008,,
goldsky,Goldsky,889,Luca Netz 🐧✳️,LucaNetz,https://pbs.twimg.com/profile_images/1849498278255071232/drdvg74U_normal.jpg,17025.0,213669,luca-netz,
goldsky,Goldsky,1269,Haseeb ＞|＜,hosseeb,https://pbs.twimg.com/profile_images/1713980074989633536/n-W4MrfC_normal.jpg,15928.0,118311,haseeb-qureshi,
goldsky,Goldsky,1291,banteg,bantg,https://pbs.twimg.com/profile_images/1406018339835678720/fLQOnMbp_normal.jpg,16826.0,200188,banteg,
goldsky,Goldsky,2170,Tom Schmidt ＞|＜,tomhschmidt,https://pbs.twimg.com/profile_images/1904904435421052930/c1ka6OEc_normal.jpg,12690.0,37168,tom-schmidt,
metaweb-ventures,MetaWeb Ventures,510,Matthew Graham,mattyryze,https://pbs.twimg.com/profile_images/1919737359005863936/aiiZ1nKP_normal.jpg,12593.0,82008,,
metaweb-ventures,MetaWeb Ventures,556,Michael Arrington 🏴‍☠️,arrington,https://pbs.twimg.com/profile_images/1829899210512027648/ocakPn5p_normal.jpg,8986.0,293984,michael-arrington,
metaweb-ventures,MetaWeb Ventures,684,Calvin | Impossible is always BUIDLing,calchulus,https://pbs.twimg.com/profile_images/1688489793007820800/RTD_v6PM_normal.jpg,9445.0,26481,calchulus,
metaweb-ventures,MetaWeb Ventures,1031,NEAR Protocol,NEARProtocol,https://pbs.twimg.com/profile_images/1885336513837232128/vKF_ZRKs_normal.jpg,10063.0,1866899,,usn
metaweb-ventures,MetaWeb Ventures,1259,S◎L Big Brain,SOLBigBrain,https://pbs.twimg.com/profile_images/1873772860566638592/cTfnGR67_normal.jpg,10449.0,288507,sol-big-brain,
doodles,Doodles,505,Stani.eth,StaniKulechov,https://pbs.twimg.com/profile_images/1880993699661852672/RzdhDkv2_normal.jpg,19548.0,265529,stani-kulechov,
doodles,Doodles,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
doodles,Doodles,526,Andrew Kang,Rewkang,https://pbs.twimg.com/profile_images/1786874758421983232/L06COzZ-_normal.jpg,22873.0,379942,andrew-kang,
doodles,Doodles,596,loomdart - Holy War Arc,loomdart,https://pbs.twimg.com/profile_images/1890221706104508416/f_NKIFhr_normal.jpg,20440.0,321534,,
doodles,Doodles,830,Solana,solana,https://pbs.twimg.com/profile_images/1472933274209107976/6u-LQfjG_normal.jpg,19658.0,3399796,,solana
mean-fi,Mean DAO,72221,Lady Crypto,ladycryptook,https://pbs.twimg.com/profile_images/1657405587418652675/zZNI3nuB_normal.jpg,228.0,399435,,
ownera,Ownera,510,Matthew Graham,mattyryze,https://pbs.twimg.com/profile_images/1919737359005863936/aiiZ1nKP_normal.jpg,12593.0,82008,,
ownera,Ownera,4477,JeromeLoo｜老王 🀄️🐱🐶🐸🦛🐂,V1JeromeLoo,https://pbs.twimg.com/profile_images/1734805866837422080/n0Q6_WwB_normal.jpg,1560.0,62584,,
ownera,Ownera,11634,Kadena,kadena_io,https://pbs.twimg.com/profile_images/1820556208455172096/PQHyA3TU_normal.jpg,2453.0,302993,,kadena
ownera,Ownera,16904,DeFiTrader,defitrader_,https://pbs.twimg.com/profile_images/1869778725832622089/OezQODv2_normal.jpg,2103.0,15706,,
ownera,Ownera,99152,Acid Keyz,Keybeats89,https://pbs.twimg.com/profile_images/1917966692950634496/ritP86ec_normal.jpg,1286.0,14399,,
arpeggi-labs,Arpeggi Labs,505,Stani.eth,StaniKulechov,https://pbs.twimg.com/profile_images/1880993699661852672/RzdhDkv2_normal.jpg,19548.0,265529,stani-kulechov,
arpeggi-labs,Arpeggi Labs,509,Kyle Samani,KyleSamani,https://pbs.twimg.com/profile_images/1858578125870809088/sfUhlDBd_normal.jpg,17534.0,173792,,
arpeggi-labs,Arpeggi Labs,531,cdixon.eth,cdixon,https://pbs.twimg.com/profile_images/1433529810681155587/ACs86CsF_normal.png,,877934,chris-dixon,
arpeggi-labs,Arpeggi Labs,611,Fred Ehrsam,FEhrsam,https://pbs.twimg.com/profile_images/1859783304792428544/nsMNLdjQ_normal.jpg,16682.0,224995,fred-ehrsam,
arpeggi-labs,Arpeggi Labs,10059,threadguy,notthreadguy,https://pbs.twimg.com/profile_images/1920651894982066176/ssOaEU8k_normal.jpg,17331.0,317518,threadguy,
